actorid,name,sex,fname,lname
1679860,"Warbey, Christopher",M,Christopher,Warbey
1679889,"Warburton, David (I)",M,David,Warburton
1679897,"Warburton, John (I)",M,John,Warburton
1679903,"Warburton, Patrick",M,Patrick,Warburton
1679923,"Warchol, Grzegorz",M,Grzegorz,Warchol
1679946,"Ward Jr., E. Glenn",M,E,Ward 
1679964,"Ward, Adam (I)",M,Adam,Ward
1679974,"Ward, Al (I)",M,Al,Ward
1679977,"Ward, Alan (I)",M,Alan,Ward
1679984,"Ward, Aleardo",M,Aleardo,Ward
1679995,"Ward, Alonzo",M,Alonzo,Ward
1679999,"Ward, Andra R.",M,Andra,Ward
1680012,"Ward, Anthony (II)",M,Anthony,Ward
1680040,"Ward, Baxter",M,Baxter,Ward
1680109,"Ward, Chance",M,Chance,Ward
1680117,"Ward, Charlie (I)",M,Charlie,Ward
1680136,"Ward, Christopher (I)",M,Christopher,Ward
1680198,"Ward, Dave 'Squatch'",M,Dave,Ward
1680207,"Ward, David (III)",M,David,Ward
1680223,"Ward, David James",M,David,Ward
1680238,"Ward, Dervis",M,Dervis,Ward
1680244,"Ward, Dick (I)",M,Dick,Ward
1680250,"Ward, Donal Lardner",M,Donal,Ward
1680252,"Ward, Donnie",M,Donnie,Ward
1680292,"Ward, Frank (II)",M,Frank,Ward
1680301,"Ward, Fred (I)",M,Fred,Ward
1680342,"Ward, Greg (I)",M,Greg,Ward
1680406,"Ward, James Kevin",M,James,Ward
1680425,"Ward, Jay (II)",M,Jay,Ward
1680431,"Ward, Jeff (I)",M,Jeff,Ward
1680447,"Ward, Jeffrey L.",M,Jeffrey,Ward
1680481,"Ward, John (I)",M,John,Ward
1680482,"Ward, John (II)",M,John,Ward
1680484,"Ward, John (V)",M,John,Ward
1680506,"Ward, Jonathan (I)",M,Jonathan,Ward
1680514,"Ward, Joshua (I)",M,Joshua,Ward
1680519,"Ward, Justin (I)",M,Justin,Ward
1680520,"Ward, Justin (II)",M,Justin,Ward
1680534,"Ward, Kelly (I)",M,Kelly,Ward
1680552,"Ward, Kirk",M,Kirk,Ward
1680564,"Ward, Larry (I)",M,Larry,Ward
1680586,"Ward, Lyman (I)",M,Lyman,Ward
1680646,"Ward, Michael (I)",M,Michael,Ward
1680720,"Ward, Nick (III)",M,Nick,Ward
1680732,"Ward, Paddy",M,Paddy,Ward
1680734,"Ward, Patrick (II)",M,Patrick,Ward
1680772,"Ward, Raymond",M,Raymond,Ward
1680777,"Ward, Richard (I)",M,Richard,Ward
1680788,"Ward, Robert (I)",M,Robert,Ward
1680795,"Ward, Robin (I)",M,Robin,Ward
1680799,"Ward, Roger (I)",M,Roger,Ward
1680812,"Ward, Roy (I)",M,Roy,Ward
1680822,"Ward, Ryan (I)",M,Ryan,Ward
1680834,"Ward, Sandy",M,Sandy,Ward
1680846,"Ward, Sean (II)",M,Sean,Ward
1680853,"Ward, Selwyn",M,Selwyn,Ward
1680862,"Ward, Simon (I)",M,Simon,Ward
1680867,"Ward, Skip",M,Skip,Ward
1680869,"Ward, Stan (I)",M,Stan,Ward
1680899,"Ward, Terry (I)",M,Terry,Ward
1680923,"Ward, Tiny",M,Tiny,Ward
1680927,"Ward, Tom (II)",M,Tom,Ward
1680930,"Ward, Tom (X)",M,Tom,Ward
1680939,"Ward, Tony (III)",M,Tony,Ward
1680973,"Ward, Vincent (I)",M,Vincent,Ward
1680982,"Ward, Wayne 'Crescendo'",M,Wayne,Ward
1680983,"Ward, Wayne (I)",M,Wayne,Ward
1681009,"Ward, Zack (I)",M,Zack,Ward
1681037,"Warde, Anthony",M,Anthony,Warde
1681044,"Warde, Harlan",M,Harlan,Warde
1681047,"Warde, Ted",M,Ted,Warde
1681094,"Warden, Hugh",M,Hugh,Warden
1681095,"Warden, Jack",M,Jack,Warden
1681115,"Warden, Rick (I)",M,Rick,Warden
1681135,"Warder, Frederick",M,Frederick,Warder
1681139,"Wardetzky, Dieter",M,Dieter,Wardetzky
1681167,"Wardle, Michael",M,Michael,Wardle
1681183,"Wardlow, John",M,John,Wardlow
1681184,"Wardlow, Keith",M,Keith,Wardlow
1681187,"Wardman, Ward",M,Ward,Wardman
1681219,"Ware Jr., Graham",M,Graham,
1681223,"Ware, Andre (I)",M,Andre,Ware
1681250,"Ware, David (II)",M,David,Ware
1681274,"Ware, Howard (I)",M,Howard,Ware
1681286,"Ware, Jeff",M,Jeff,Ware
1681298,"Ware, Jordan",M,Jordan,Ware
