writerid,name,fname,lname
268118,"O'Brien, Kate (I)",O'Brien, Kate
268163,"O'Brien, Richard (I)",O'Brien, Richard
268167,"O'Brien, Robert C.",O'Brien, Robert C 
268194,"O'Brien, Willis H.",O'Brien, Willis H 
268208,"O'Byrne, Sean (I)",O'Byrne, Sean
268219,"O'Callaghan, Matthew (I)",O'Callaghan, Matthew
268227,"O'Carroll, Brendan (I)",O'Carroll, Brendan
268361,"O'Connor, Gavin (I)",O'Connor, Gavin
268512,"O'Donnell, Jack (II)",O'Donnell, Jack
268578,"O'Donoghue, Michael (I)",O'Donoghue, Michael
268624,"O'Farrell, John",O'Farrell, John
268702,"O'Hanlon, James (I)",O'Hanlon, James
268733,"O'Hara, John (II)",O'Hara, John
268771,"O'Haver, Tommy",O'Haver, Tommy
268875,"O'Leary, Ronan (I)",O'Leary, Ronan
268915,"O'Malley, David (I)",O'Malley, David
268930,"O'Malley, Suzanne",O'Malley, Suzanne
268963,"O'Neal III, Cleveland",O'Neal III, Cleveland
268965,"O'Neal, Brian E.",O'Neal, Brian E 
269045,"O'Neill, Denis",O'Neill, Denis
269241,"O'Rourke, P.J.",O'Rourke, P J 
269421,"Oakley, Vern",Oakley, Vern
269440,"Oates, Joyce Carol",Oates, Joyce Carol
269602,"Oboler, Arch",Oboler, Arch
269646,"Obrow, Jeffrey",Obrow, Jeffrey
269858,"Odell, David",Odell, David
269875,"Odets, Clifford",Odets, Clifford
269882,"Odier, Daniel",Odier, Daniel
269944,"Oedekerk, Steve",Oedekerk, Steve
270068,"Ofteringer, Susanne",Ofteringer, Susanne
270233,"Ogrodnik, Mo",Ogrodnik, Mo
270245,"Oguni, Hideo",Oguni, Hideo
270408,"Ohl, Paul",Ohl, Paul
270458,"Ohngemach, Gundula Leni",Ohngemach, Gundula Leni
271032,"Oldman, Gary",Oldman, Gary
271151,"Oliensis, Adam",Oliensis, Adam
271345,"Oliver, Deanna",Oliver, Deanna
271407,"Oliver, Ron (I)",Oliver, Ron
271475,"Olivier, Laurence",Olivier, Laurence
271574,"Olmert, Michael",Olmert, Michael
271649,"Olsen, Arne (I)",Olsen, Arne
271662,"Olsen, Dana",Olsen, Dana
271746,"Olshan, Joseph",Olshan, Joseph
272058,"Ondaatje, Michael",Ondaatje, Michael
272181,"Onofri, Fabrizio",Onofri, Fabrizio
272321,"Ophüls, Max",Ophuls, Max
272569,"Oreb, Tom",Oreb, Tom
272704,"Oriolo, Joseph",Oriolo, Joseph
272712,"Oristrell, Joaquín",Oristrell, Joaquin
272869,"Ormonde, Czenzi",Ormonde, Czenzi
272875,"Ormsby, Alan",Ormsby, Alan
272995,"Orr, James (I)",Orr, James
273006,"Orr, Mary (I)",Orr, Mary
273010,"Orr, Robert (I)",Orr, Robert
273050,"Orsenna, Erik",Orsenna, Erik
273405,"Orwell, George",Orwell, George
273459,"Osborn Jr., John Jay",Osborn , John Jay
273467,"Osborn, David D.",Osborn, David D 
273476,"Osborn, Paul (I)",Osborn, Paul
273477,"Osborn, Ron (I)",Osborn, Ron
273516,"Osborne, John (II)",Osborne, John
273542,"Osborne, William (I)",Osborne, William
273758,"Ossman, David",Ossman, David
274015,"Othenin-Girard, Dominique",Othenin-Girard, Dominique
274172,"Otto, Whitney",Otto, Whitney
274179,"Ottoni, Filippo",Ottoni, Filippo
274275,Ouida,,
274304,"Oury, Gérard",Oury, Gerard
274329,"Outten, Richard",Outten, Richard
274350,"Ovadia, Moni",Ovadia, Moni
274487,"Owen, Alun",Owen, Alun
274705,"Oxlade, Boyd",Oxlade, Boyd
274763,"Oz, Frank",Oz, Frank
274850,"Ozon, François",Ozon, Francois
274861,"Ozpetek, Ferzan",Ozpetek, Ferzan
274881,"P, Master",P, Master
275087,"Pacino, Al",Pacino, Al
275129,"Packer, William",Packer, William
275367,"Pagani, Amedeo",Pagani, Amedeo
275376,"Pagano, Ernest",Pagano, Ernest
275542,"Pagnol, Marcel",Pagnol, Marcel
275817,"Pakula, Alan J.",Pakula, Alan J 
275934,"Palahniuk, Chuck",Palahniuk, Chuck
276094,"Palin, Michael",Palin, Michael
276185,"Pallenberg, Rospo",Pallenberg, Rospo
276311,"Palmer, Cap",Palmer, Cap
276355,"Palmer, John (XIII)",Palmer, John
276372,"Palmer, Linda (II)",Palmer, Linda
276386,"Palmer, Michael (I)",Palmer, Michael
276387,"Palmer, Michael (III)",Palmer, Michael
276459,"Palmieri, Marc (I)",Palmieri, Marc
276473,"Palminteri, Chazz",Palminteri, Chazz
276588,"Palud, Hervé",Palud, Herve
276597,"Palumbo, Dennis",Palumbo, Dennis
276719,"Panahi, Jafar",Panahi, Jafar
276722,"Panama, Norman",Panama, Norman
276903,"Pang, Chi-Ming",Pang, Chi-Ming
277156,"Panzer, William N.",Panzer, William N 
277179,"Paoli, Dennis",Paoli, Dennis
277893,"Parello, Chuck",Parello, Chuck
278282,"Park, Nick (I)",Park, Nick
278384,"Parker, Alan (I)",Parker, Alan
278395,"Parker, Austin (I)",Parker, Austin
278428,"Parker, Chris (III)",Parker, Chris
278460,"Parker, Dorothy (I)",Parker, Dorothy
278496,"Parker, J. Stanford",Parker, J  Stanford
278535,"Parker, Kathy (I)",Parker, Kathy
278576,"Parker, Monica",Parker, Monica
278588,"Parker, Oliver (I)",Parker, Oliver
278638,"Parker, Tom S.",Parker, Tom S 
278641,"Parker, Trey (I)",Parker, Trey
278669,"Parkes, Walter F.",Parkes, Walter F 
278690,"Parkin, Frank",Parkin, Frank
278763,"Parks, Rick (I)",Parks, Rick
278771,"Parks, Suzan-Lori",Parks, Suzan-Lori
278969,"Parriott, James D.",Parriott, James D 
278970,"Parriott, Sara",Parriott, Sara
279070,"Parsi, Jacques",Parsi, Jacques
279087,"Parsonnet, Marion",Parsonnet, Marion
279108,"Parsons, Deborah (II)",Parsons, Deborah
279169,"Part, Michael",Part, Michael
279422,"Paseornek, Michael",Paseornek, Michael
279468,"Paskaljevic, Goran",Paskaljevic, Goran
279478,"Pasko, Martin (II)",Pasko, Martin
